SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
Demon (Wastrilith)	OUTPUTNAME:Demon [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30,Swim,80	FACE:15	REACH:15			PREALIGN:CE	LANGAUTO:Abyssal,Aquan,Common		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate|8|TYPE=Racial				BONUS:STAT|STR|18	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Spellcraft|Spot|Survival|Swim|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Paralysis,*2,2d4		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Boiling Water	ABILITY:Special Ability|AUTOMATIC|Break Summoning|Immunity To Cold|Vulnerability To Fire|Immunity To Water|Water Mastery			ABILITY:Special Ability|AUTOMATIC|Wastriliths Skills		SR:20			MONSTERCLASS:Outsider:15	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider	TEMPLATE:Extraplanar|Aquatic	TEMPLATE:Chaotic|Evil		HITDICEADVANCEMENT:21,45		CR:17	SOURCEPAGE:FFo		DEFINE:BreathWeaponCone|60	DEFINE:BreathWeaponDice|3	DEFINE:BreathWeaponDamageDie|10	DEFINE:BreathWeaponDice|8								
Deva (Monadic)	OUTPUTNAME:Deva, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			PREALIGN:LG,NG,CG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Balance|Concentration|Diplomacy|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spellcraft|Spot			AUTO:WEAPONPROF|Mace (Heavy)	AUTO:EQUIP|Mace (Heavy)					LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Deliverance From Death|Elemental Ease|Uncanny Dodge ~ Base|Change Shape				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:22	DR:10/Evil		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Deva	TYPE:Outsider	TEMPLATE:Outsider|Deva	TEMPLATE:Extraplanar	TEMPLATE:Good		HITDICEADVANCEMENT:20,30		CR:12	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Charm Monster,13+CHA|Consecrate|Continual Flame|Create Food and Water|Death Ward,14+CHA|Detect Evil|Discern Lies,13+CHA|Hold Monster,14+CHA|Mirror Image|Prayer|Protection from Arrows,12+CHA	DEFINE:Maneuverability|4	BONUS:VAR|UncannyDodgeLevel|2	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Atonement|Cure Serious Wounds,13+CHA|Daylight|Dispel Magic|Divination|Ethereal Jaunt|Hallow,15+CHA|Holy Aura,18+CHA|Holy Smite,14+CHA|Neutralize Poison,13+CHA|Plane Shift,15+CHA|Remove Curse,13+CHA|Remove Disease,13+CHA|Remove Fear,11+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Commune,15+CHA|Dispel Evil,14+CHA|Raise Dead,15+CHA							
Deva (Movanic)	OUTPUTNAME:Deva, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			PREALIGN:LG,NG,CG			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Balance|Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spellcraft|Spot			AUTO:WEAPONPROF|Longsword	AUTO:EQUIP|Longsword					LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Divine Equilibrum|Resistance To Fire|Heavenly Deflection|Protective Aura|Soothing Presence of Nature|Change Shape				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:19	DR:10/Evil		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Deva	TYPE:Outsider	TEMPLATE:Outsider|Deva	TEMPLATE:Extraplanar	TEMPLATE:Good		HITDICEADVANCEMENT:12,18		CR:9	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Aid|Consecrate|Continual Flame|Create Food and Water|Death Ward,14+CHA|Detect Evil|Discern Lies,13+CHA|Prayer|Protection from Arrows,12+CHA	DEFINE:Maneuverability|4	DEFINE:FireResistanceBonus|20	SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Atonement|Bless Weapon|Cure Serious Wounds,13+CHA|Daylight|Divination|Ethereal Jaunt|Hallow,15+CHA|Holy Smite,14+CHA|Neutralize Poison,13+CHA|Plane Shift,15+CHA|Remove Curse,13+CHA|Remove Disease,13+CHA|Remove Fear,11+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Commune,15+CHA|Raise Dead,15+CHA								
#Baatezu (Krochacon)	OUTPUTNAME:Baatezu [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			PREALIGN:LE	LANGAUTO:Telepathy		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Heal|Hide|Intimidate|Jump|Listen|Move Silently|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Disease	ABILITY:Special Ability|AUTOMATIC|Sadism				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:17	DR:15/Magic		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Baatezu	TYPE:Outsider	TEMPLATE:Outsider|Baatezu	TEMPLATE:Evil|Extraplanar|Lawful			HITDICEADVANCEMENT:9,12		CR:6	SOURCEPAGE:BoVD	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Animate Dead|Cure Moderate Wounds,12+CHA|Desecrate|Detect Good|Detect Magic|Magic Circle against Good|Liquid Pain,14+CHA|Major Image|Sorrow,11+CHA|Suggestion|Teleport (Greater)|Wave of Grief,12+CHA|Wither Limb,12+CHA|Wrack,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Blasphemy,17+CHA	DEFINE:TelepathyRange|100						BONUS:VAR|Maneuverability|3				
Baatezu (Paeliryon)	OUTPUTNAME:Baatezu [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Burrow,20,Fly,100	FACE:15	REACH:10			PREALIGN:LE	LANGAUTO:Celestial,Common,Draconic,Infernal,Undercommon		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Forgery|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Paeliryon Fingernail	AUTO:EQUIP|Paeliryon Fingernail|Paeliryon Fingernail					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Paerilyon|Belittle|Deform|Fingernail	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Scent|See Invisibility|Tongues					SR:32	DR:15/Good		MONSTERCLASS:Outsider:18	RACETYPE:Outsider	RACESUBTYPE:Baatezu	TYPE:Outsider	TEMPLATE:Outsider|Baatezu	TEMPLATE:Extraplanar	TEMPLATE:Lawful|Evil		HITDICEADVANCEMENT:27,54		CR:22	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Animate Dead|Antilife Shell|Blasphemy,17+CHA|Charm Person,11+CHA|Create Undead|Detect Good|Detect Magic|Fireball,13+CHA|Dispel Magic (Greater)|Hold Monster,14+CHA|Invisibility (Greater),14+CHA|Magic Circle against Good|Major Image|Mind Blank,18+CHA|Produce Flame|Suggestion|Teleport (Greater),17+CHA|Unhallow,15+CHA|Unholy Aura,18+CHA|Wall of Fire,14+CHA	DEFINE:ColdResistanceBonus|20	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Blasphemy,17+CHA|Enervation|Meteor Swarm,19+CHA|Permanent Image,16+CHA|Screen,17+CHA|Shadow Walk,15+CHA|Symbol of Death,18+CHA|Symbol of Fear,18+CHA|Symbol of Insanity,18+CHA|Symbol of Pain,18+CHA|Symbol of Persuasion,18+CHA|Symbol of Sleep,18+CHA|Symbol of Stunning,18+CHA|Symbol of Weakness,18+CHA|Vampiric Touch	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Dictum,17+CHA|Dispel Good,15+CHA|Forbiddance,16+CHA|Command (Greater),15+CHA|Implosion,19+CHA|Imprisonment,19+CHA|Soul Bind,19+CHA|Word of Recall,16+CHA									
Baatezu (Xerfilstyx)	OUTPUTNAME:Baatezu [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Burrow,20,Fly,60,Swim,60	FACE:15	REACH:15			PREALIGN:LE		LANGBONUS:ALL	BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Sense Motive|Search|Spellcraft|Spot|Survival|Swim									LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Tail,Weapon.Natural.Melee.Finesseable.Bludgeoning.Wounding,*1,1d8|Horn,Weapon.Natural.Melee.Finesseable.Piercing.Poison,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Attach|Blood Drain ~ Xerfilstyx|Breath Weapon ~ Cone of Scalding Blood|Fear Aura|Toss	ABILITY:Special Ability|AUTOMATIC|Immunity to Cold|Fast Healing|Knowledgeable|Immunity To Mind-Affecting|Immunity To Piercing Damage			ABILITY:Special Ability|AUTOMATIC|Xerfilstyx Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:19	DR:15/Good and Silver		MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Baatezu	TYPE:Outsider	TEMPLATE:Outsider|Baatezu	TEMPLATE:Aquatic|Extraplanar	TEMPLATE:Lawful|Evil		HITDICEADVANCEMENT:22,45		CR:18	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blasphemy,17+CHA|Charm Person,11+CHA|Cone of Cold,15+CHA|Confusion,13+CHA|Desecrate|Detect Good|Detect Magic|Dispel Magic|Hold Person,12+CHA|Ice Storm,14+CHA|Invisibility (Greater),14+CHA|Legend Lore|Magic Circle against Good|Major Image|Suggestion|Telekinesis,15+CHA|Teleport (Greater),17+CHA|Unhallow,15+CHA|Unholy Aura,18+CHA|Wall of Ice,14+CHA	DEFINE:Maneuverability|1	DEFINE:BreathWeaponCone|50	DEFINE:BreathWeaponDice|1	DEFINE:BreathWeaponDamageDie|8	DEFINE:FearAuraRadius|30	DEFINE:FearAuraDC|10+(HD/2)+CON	DEFINE:FastHealing|5	SPELLS:Innate|TIMES=2|CASTERLEVEL=20|Meteor Swarm,19+CHA|Insanity,17+CHA|Power Word Blind,17+CHA|Symbol of Death,18+CHA|Symbol of Fear,18+CHA|Symbol of Insanity,18+CHA|Symbol of Pain,18+CHA|Symbol of Persuasion,18+CHA|Symbol of Sleep,18+CHA|Symbol of Stunning,18+CHA|Symbol of Weakness,18+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Energy Drain,19+CHA|Foresight,19+CHA			
Dire Animal (Dire Rhinoceros)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,STR/2)	BONUS:WEAPONPROF=Gore|TOHIT|2		NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Dire Rhinoceros|Trample	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal (Will):17	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:34,51		CR:9	SOURCEPAGE:FFo													
Disenchanter			STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|12	BONUS:STAT|CON|8	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4				MONCSKILL:Hide|Jump|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Disenchanter Tongue	AUTO:EQUIP|Disenchanter Tongue					LEGS:4	HANDS:0				NATURALATTACKS:Tail Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d10|Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Adhesive|Constrict|Disenchant|Magic Drain|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Detect Magic					SR:30	DR:10/Magic		MONSTERCLASS:Magical Beast:16	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:25,51		CR:17	SOURCEPAGE:FFo													
Ooze (Ethereal Ooze)	OUTPUTNAME:[NAME]			SIZE:H	MOVE:Walk,15	FACE:15	REACH:10	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|18	BONUS:STAT|DEX|-10	BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0					NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Acid|Constrict|Engulf|Etherealize	ABILITY:Special Ability|AUTOMATIC|Manifestation								MONSTERCLASS:Ooze:12	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze|Mindless	TEMPLATE:Extraplanar|Incorporeal			HITDICEADVANCEMENT:18,36		CR:10	SOURCEPAGE:FFo													
Ethergaunt (Black)	OUTPUTNAME:Ethergaunt, [NAME]	FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|20	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Diplomacy|Heal|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spellcraft|Spot				AUTO:EQUIP|Etherblade	AUTO:FEAT|Exotic Weapon Proficiency(Etherblade)				LEGS:2	HANDS:2															MONSTERCLASS:Black Ethergaunt:16	RACETYPE:Aberration	RACESUBTYPE:Ethergaunt	TYPE:Aberration	TEMPLATE:Aberration|Ethergaunt	TEMPLATE:Extraplanar				LEVELADJUSTMENT:4	CR:17	SOURCEPAGE:FFo		DEFINE:ImmunityToSpellLevel|6											
Ethergaunt (Red)	OUTPUTNAME:Ethergaunt, [NAME]	FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|12	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Heal|Knowledge (Arcana)|Listen|Move Silently|Spellcraft|Spot|Survival					AUTO:FEAT|Combat Casting|Exotic Weapon Proficiency(Etherblade)				LEGS:2	HANDS:2															MONSTERCLASS:Red Ethergaunt:5	RACETYPE:Aberration	RACESUBTYPE:Ethergaunt	TYPE:Aberration	TEMPLATE:Aberration|Ethergaunt	TEMPLATE:Extraplanar				LEVELADJUSTMENT:7	CR:9	SOURCEPAGE:FFo		DEFINE:ImmunityToSpellLevel|2											
Ethergaunt (White)	OUTPUTNAME:Ethergaunt, [NAME]	FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|16	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Diplomacy|Heal|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spellcraft|Spot|Survival					AUTO:FEAT|Exotic Weapon Proficiency(Etherblade)				LEGS:2	HANDS:2															MONSTERCLASS:White Ethergaunt:11	RACETYPE:Aberration	RACESUBTYPE:Ethergaunt	TYPE:Aberration	TEMPLATE:Aberration|Ethergaunt	TEMPLATE:Extraplanar				LEVELADJUSTMENT:5	CR:13	SOURCEPAGE:FFo		DEFINE:ImmunityToSpellLevel|4											
Fensir		FAVCLASS:Wizard	STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (60')|Low-Light		PREALIGN:CN	LANGAUTO:Common,Giant		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Hide|Listen|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light			AUTO:FEAT|Brew Potion				LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Sense Twin								MONSTERCLASS:Fensir:4	RACETYPE:Giant	RACESUBTYPE:Fensir	TYPE:Giant	TEMPLATE:Giant|Fensir					LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:FFo													
Fensir (Rakka)	OUTPUTNAME:Fensir, [NAME]	FAVCLASS:Barbarian	STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:15	VISION:Darkvision (60')|Low-Light		PREALIGN:CN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Listen|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light							LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Dying Curse									MONSTERCLASS:Giant:12	RACETYPE:Giant	RACESUBTYPE:Fensir	TYPE:Giant	TEMPLATE:Giant|Fensir					LEVELADJUSTMENT:4	CR:8	SOURCEPAGE:FFo													
Feytouched		FAVCLASS:Bard|Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-Light					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|2|TYPE=Racial					BONUS:STAT|DEX|2	BONUS:STAT|CON|-2			BONUS:STAT|CHA|2			MONCSKILL:Bluff|Handle Animal|Hide|TYPE.Knowledge|Move Silently|Sense Motive|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Dagger|Shortbow						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Charm Person (Sp)	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting									RACETYPE:Fey		TYPE:Fey						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:FFo		DEFINE:CharmPersonPerDay|1	DEFINE:CharmPersonLVL|HD										
Fhorge			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Double Damage on Charge|Improved Grab|Rage|Worry ~ Fhorge	ABILITY:Special Ability|AUTOMATIC|Ferocity|Scent								MONSTERCLASS:Animal:12	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:12,26,39		CR:9	SOURCEPAGE:FFo													
Flame Snake (Minor)	OUTPUTNAME:Flame Snake, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Climb,10	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light					BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-4					MONCSKILL:Climb|Hide|Listen|Move Silently|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison.Fire,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Burning Hands (Sp)|Fiery Poison|Heat	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast	RACESUBTYPE:Flame Snake	TYPE:Magical Beast	TEMPLATE:Magical Beast|Flame Snake		TEMPLATE:Fire		HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:FFo		DEFINE:BurningHandsPerDay|1	DEFINE:BurningHandsLVL|3										
Flame Snake (Lesser)	OUTPUTNAME:Flame Snake, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,20	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light					BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Flame Snake Magma Spit	AUTO:EQUIP|Flame Snake Magma Spit					LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison.Fire,*1,1d4|Tail Spike,Weapon.Natural.Melee.Finesseable.Piercing.Fire,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Fiery Poison|Heat	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Scent|Uncanny Dodge ~ Base								MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast	RACESUBTYPE:Flame Snake	TYPE:Magical Beast	TEMPLATE:Magical Beast|Flame Snake		TEMPLATE:Fire		HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:FFo		DEFINE:FastHealing|3	BONUS:VAR|UncannyDodgeLevel|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK									
Flame Snake (Greater)	OUTPUTNAME:Flame Snake, [NAME]		STARTFEATS:2	SIZE:H	MOVE:Walk,60,Climb,50	FACE:15	REACH:15	VISION:Darkvision (60')|Low-Light					BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|6	BONUS:STAT|CON|10		BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Climb|Hide|Listen|Move Silently|Search|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison.Fire,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning.Fire,*1,2d8|Tail Spike,Weapon.Natural.Melee.Finesseable.Piercing.Fire,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Dark Fire|Constrict|Death Throes|Fiery Aura ~ Flame Drake|Fiery Poison|Heat|Improved Grab|Negative Energy|Swallow Whole|Fireball (Sp/maximized)	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Scent|Uncanny Dodge ~ Base					SR:27	DR:15/Magic		MONSTERCLASS:Magical Beast:17	RACETYPE:Magical Beast	RACESUBTYPE:Flame Snake	TYPE:Magical Beast	TEMPLATE:Magical Beast|Flame Snake		TEMPLATE:Fire		HITDICEADVANCEMENT:24,51		CR:16	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=3|CASTERLEVEL=16|Fireball,13+CHA|Fire shield	DEFINE:BreathWeaponCone|50	DEFINE:BreathWeaponDice|12	DEFINE:BreathWeaponDamageDie|6	DEFINE:FastHealing|5	BONUS:VAR|UncannyDodgeLevel|2	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK	SPELLS:Innate|TIMES=1|CASTERLEVEL=16|Fire Storm,17+CHA|Flame Strike,14+CHA	DEFINE:FireballPerDay|1	DEFINE:FireballLVL|16			
